director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,overview,tagline,rating,companies
Elliott Lester,Arnold Schwarzenegger,Scoot McNairy,Maggie Grace,Drama Thriller,aftermath,"Desperate to save their marriage, a young couple takes a deal to move into their dream home, but disturbing events reveal the house's troubled history.",Lock the doors. Set the alarm. Trust no one.,6.3,Winther Brothers Entertainment Productivity Media RiverRun Entertainment
Ole Bornedal,Nicolas Bro,Ulrich Thomsen,Mia Lyhne,Comedy Crime Drama,small town killers,"The two tradesmen Ib and Edward are tired of their lifeless marriages and dream of living the good life from the stash of money they've earned moonlighting for years. After a huge fight with their wives the two men get drunk and hire a Russian contract killer to do a hit on their spouses. But they have badly underestimated their wives, and this becomes the start of an absurd journey where Ib and Edward to their own horror end at the top of a kill list.",,5.7,Miso Film
Ricardo Herrera,Andy Goldenberg,Emily Roya O'Brien,Nick Armstrong,Comedy,the bigfoot project,A team of amateur filmmakers journeys into the backwoods of Georgia in search of the mysterious creature known as Bigfoot.,Based on actual events. Not really.,5.9,Midas Touch Media Fallen Films June Street Productions
Jon Gunn,Mike Vogel,Erika Christensen,Faye Dunaway,Drama,the case for christ,"Based on the true story of an award-winning investigative journalist -- and avowed atheist -- who applies his well-honed journalistic and legal skills to disprove the newfound Christian faith of his wife... with unexpected, life-altering results.",,6.9,Pure Flix Entertainment Triple Horse Studios Entertainment Studios Motion Pictures
Leif Tilden,Graham Rogers,Billy Crudup,Liana Liberato,Drama Romance,1 mile to you,"After a teenager's friends die in an accident, he finds running allows him to remember them perfectly. Running, however, also brings him notoriety. He is caught between keeping the past alive and making new memories in the present.",Run with your heart.,6.6,WeatherVane Productions Cinema Revival Culmination Productions Ingenious Media LATS Productions
Aaron Woodley,Jessica Biel,Hilary Swank,Susan Sarandon,Adventure Animation Comedy Family Sci-Fi,spark: a space tail,"Spark, a teenage monkey and his friends, Chunk and Vix, are on a mission to regain Planet Bana - a kingdom overtaken by the evil overlord Zhong.",Spark a revolution!,4.6,Shanghai Hoongman Technology Co. Gulfstream Pictures Redrover ToonBox Entertainment Suning Global Media
Stella Meghie,Amandla Stenberg,Nick Robinson,Anika Noni Rose,Drama Romance,"everything, everything","A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",Risk everything... for love.,7.3,Alloy Entertainment Itaca Films Metro-Goldwyn-Mayer
David Bowers,Jason Ian Drucker,Owen Asztalos,Charlie Wright,Comedy Family,diary of a wimpy kid: the long haul,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.,,5.3,20th Century Fox TSG Entertainment Color Force
Alain Gomis,Véro Tshanda Beya Mputu,Gaetan Claudia,Papi Mpaka,Drama,félicité,"Félicité, a strong and proud woman, sings in bars in Kinshasa. She drifts away from reality when her 14-year-old son gets into an accident. In electric Kinshasa, she wanders in a world of music & dreams... until love unexpectedly brings her back to life.",,6.6,Granit Films Cinekap Andolfi Need Productions Katuh Studio Fixer Congo
Andrey Volgin,Agniya Ditkovskite,Denis Shvedov,Anvar Khalilulaev,Action Fantasy,dance to death,Deadly dance tournament is carried out in the city survived after nuclear apocalypse.  Energy is extracted from the loser for the city to survive. A young guy from the street is forced to take part in the tournament and falls in love with girl who volunteered to participate in the battle. Will they survive or the arena will take their lives?,,4.5,Kinodanz
Dmitriy Kiselev,Evgeny Mironov,Konstantin Khabenskiy,Vladimir Ilin,Adventure Drama History,the spacewalker,"March 1965. In the heat of the Cold War, the USA and the USSR are competing for supremacy in space. What both superpowers aim for in this race, is to be the first to have a man walk in outer space. To accomplish that, no price is too high and no risk is too great. Now it’s up to the unlikely duo of a seasoned war veteran and a hot-headed test-pilot to fulfill this mission. Two men in a tiny spaceship, without proper testing, facing the complete unknown. They were supposed to do what no man has done before—and no man imagined what would happen next.","So far from home, so close to disaster",7.1,Bazelevs Production
Seth Gordon,Dwayne Johnson,Zac Efron,Alexandra Daddario,Action Comedy,baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.","Don't worry, summer is coming",6.1,Uncharted Paramount Flynn Picture Company Fremantle Productions Seven Bucks Productions Skydance The Montecito Picture Company
Denise Di Novi,Rosario Dawson,Katherine Heigl,Geoff Stults,Drama Thriller,unforgettable,"Julia moves in with her fiancé, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence.","When love ends, madness begins.",5.9,Di Novi Pictures
Jonathan Levine,Amy Schumer,Goldie Hawn,Tom Bateman,Action Comedy,snatched,"When her boyfriend dumps Emily, a spontaneous woman in her 30s, she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey, their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.","Mess with me, mess with my mother.",5.4,Chernin Entertainment Feigco Entertainment 20th Century Fox
Alex Kurtzman,Tom Cruise,Russell Crowe,Annabelle Wallis,Thriller Action Adventure,the mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,The legend you know. The adventure you have yet to imagine.,6.899,Universal Pictures Alphaville Films
Alastair Orr,Sharni Vinson,Carlyn Burchell,Steve John Ward,Action Horror,from a house on willow street,"After a young woman is kidnapped, her captors soon come to realize that in fact they may be the ones in danger and this young woman has a dark secret inside her.",Evil has an address...,4.7,The Darkside Fat Cigar Productions
F. Gary Gray,Vin Diesel,Jason Statham,Dwayne Johnson,Action Crime Thriller,the fate of the furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",Family no more.,6.9,Original Film One Race Universal Pictures
Bryce Wagoner,Ginger Lynn Allen,Lisa Ann,Janine Lindemulder,Documentary,after porn ends 2,"After Porn Ends 2 picks up where its predecessor left off and not only turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of Its most current retirees and juxtaposes their experiences in a life after porn. Delving deeper into society's ongoing stigmas of race, misogyny, and the reality of decreasing opportunities for these former VHS box cover stars. For some, their careers in adult entertainment is accepted proudly and without regret. In fact, it seems to have proven to be the pathway to their current happiness and inner peace. For others, however, a career in porn has proven to be a conduit to certain despair as they struggle to find a way to bury their past and emerge with a new career or calling.",WHAT COMES NEXT?,5.4,Karbonshark WeBros Entertainment
Gerard McMurray,Trevor Jackson,Alfre Woodard,Steve Harris,Drama,burning sands,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",,5.8,
Ian Truitner,Sunny Mabrey,Lance Broadway,T.J. Hoban,Sci-Fi,teleios,"A deep space mining vessel has been adrift for two years. It is suspected the crew brutally killed each other, but the reason for the bloodbath is unknown. A rescue crew is sent to find if there are any survivors, what happened and why.",In a Perfect World...There is a Fatal Flaw.,5.0,Thousand Mile Media High Octane Pictures
Steven Brill,Adam Sandler,Kevin James,Terry Crews,Comedy,sandy wexler,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",,5.5,Happy Madison Productions
Phil Volken,Bethany Joy Lenz,Danny Glover,Tim Griffin,Action Adventure Crime Drama Thriller,extortion,A doctor desperately tries to save his wife and their 5 year old son after their vacation in the Bahamas takes an unexpected turn.,How much is your family worth?,6.2,Filmmuse Productions Del Rey Films 13 Films
Michael O'Shea,Eric Ruffin,Chloe Levine,Aaron Moten,Horror Drama,the transfiguration,"When troubled teen Milo, who has a fascination with vampire lore, meets the equally alienated Sophie, the two form a bond that begins to blur Milo's fantasy into reality.",,6.0,Transfiguration Productions
Carson D. Mell,Steve Zissis,Mark Proksch,Jennifer Irwin,Comedy Horror,another evil,"After encountering a ghost in his family's vacation home, Dan and his wife Mary hire an ""industrial-grade exorcist"" named Os to get rid of the beings.",Meet Os. A Straight Up Ghost Assassin.,6.4,Memory
Joe Swanberg,Jake Johnson,Aislinn Derbez,Joe Lo Truglio,Comedy,win it all,A gambling addict faces a conflict when entrusted with keeping a bunch of money that isn't his.,,5.7,Forager Film Garrett Doubles Down
